ltla21_code,ltla21_name,Households assessed as threatened with homelessness per (000s),Households assessed as homeless per (000s),"Households in temporary accommodation per 1,000","Households on housing waiting list per 1,000",Social housing stock as a proportion of all households,Vacant dwellings,housing_and_homelessness_composite_score,housing_and_homelessness_composite_rank,housing_and_homelessness_composite_quantiles
E06000052,Cornwall,1.33787023432062,1.52733740623308,2.91934111824298,92.53892215568862,0.04112175648702595,127,3.38474025974026,217,8
E07000079,Cotswold,0.710698379607694,0.568558703686156,0.426419027764617,42.04433497536946,0,0,2.551948051948052,85,3
E08000026,Coventry,1.64673365536125,3.53886291426653,5.37932994084674,36.1744966442953,0,6,4.25,287,10
E07000163,Craven,0.852514919011083,0.555987990659402,0.407724526483561,28.467432950191572,0,9,2.1136363636363633,45,2
E07000226,Crawley,1.47508622746697,1.80047289529057,7.89604980585262,26.813186813186817,0.17745054945054944,54,2.86525974025974,134,5
E09000008,Croydon,NA,NA,12.182247445503,35.775016350555916,0.08832570307390451,0,4.50487012987013,301,10
E07000096,Dacorum,1.89468578530936,1.06102403977324,3.89547397459605,39.716088328075706,0.15913249211356467,140,2.711038961038961,108,4
E06000005,Darlington,3.48339241440075,3.09407208573243,1.27041370407557,12.678936605316974,0.10791411042944785,57,3.073051948051948,174,6
E07000107,Dartford,1.9516246236894,2.07619640818021,6.64382850617668,22.5164113785558,0.092691466083151,25,3.3798701298701297,214,7
E06000015,Derby,3.7349420374818,1.82492104616199,1.84383214508595,62.03405865657521,0.11862819299905392,79,3.5032467532467533,236,8
E07000035,Derbyshire Dales,1.17515894778076,0.361587368547925,0.271190526410944,34.05572755417956,0,3,2.321428571428571,60,2
E08000017,Doncaster,1.86614138242569,2.9473185325612,1.09598779602778,66.7940074906367,0.14980524344569288,180,3.1655844155844157,186,7
E06000059,Dorset,1.17063606481748,1.37246986909636,2.03563808315553,18.31069108092144,0,5,3.0470779220779223,162.5,6
E07000108,Dover,0.954145947632067,1.4312189214481,4.09181819849905,29.32673267326733,0.08588118811881189,37,2.772727272727273,120.5,4
E08000027,Dudley,0.568260467284953,4.19638498918119,NA,24.77024070021882,0.15490153172866522,339,2.461038961038961,78,3
E06000047,Durham,1.01963635755805,2.31089715462953,0.359380027663904,41.993185689948895,0,0,3.409090909090909,223,8
E09000009,Ealing,4.49798157121939,2.62112595157389,20.5564229720656,90.45624532535528,0.0887060583395662,1456,3.9675324675324677,277,9
E07000009,East Cambridgeshire,2.51041693625611,1.21638758767049,0.388208804575688,25.13440860215054,0,0,3.3506493506493507,208,7
E07000040,East Devon,1.85945945945946,0.663063063063063,0.648648648648649,68.08383233532935,0.06261976047904191,110,2.6396103896103895,95,4
E07000085,East Hampshire,1.84732618777301,0.327130679084804,1.4624665653203,29.430740037950663,0,0,3.227272727272727,197,7
E07000242,East Hertfordshire,0.982119194974044,1.07565435640014,0.779459678550829,35.90322580645161,0,0,3.0649350649350646,167,6
E07000137,East Lindsey,1.28324262135493,1.10624363909908,0.604746522707494,28.302469135802472,0,0,3.0064935064935066,153.5,5
E06000011,East Riding of Yorkshire,0.420212207164618,1.31316314738943,0.899516755961761,47.70545693622616,0.07481262327416173,284,2.074675324675325,44,2
E07000193,East Staffordshire,0.306854359249741,0.97809827010855,0.575351923593264,124.48343079922029,0,0,3.1396103896103895,180,6
E07000244,East Suffolk,1.6424664954308,0.96975415421712,0.847442819450997,37.5609756097561,0.04020776874435411,72,2.688311688311688,105,4
E07000061,Eastbourne,1.41616510819085,2.0201178749193,8.0804714996772,29.320175438596493,0.07473684210526316,59,3.2451298701298703,199,7
E07000086,Eastleigh,0.880296884439458,0.396996634158971,0.345214464486062,38.54130052724077,0,2,2.3279220779220777,61,2
E07000030,Eden,1.70261066969353,0.810766985568348,0.243230095670504,45.16260162601626,0,0,3.1655844155844153,184.5,6
E07000207,Elmbridge,1.07627179450384,0.484322307526727,1.77584846093133,35.539568345323744,0,3,2.814935064935065,124,4
E09000010,Enfield,3.65933281707891,2.58127211163243,NA,46.50124069478908,0.0867328370554177,219,3.883116883116883,270,9
E07000072,Epping Forest,1.13650713473923,0.883949993686072,1.67770100842458,24.065934065934066,0.11695970695970696,18,2.1525974025974026,48,2
E07000208,Epsom & Ewell,0.784289120341323,1.16074789810516,7.02723051825825,38.56230031948882,0,0,3.5779220779220777,244,8
E07000036,Erewash,0.88169899562984,1.20754427662348,0.268343172582995,44.314115308151095,0,0,2.9512987012987013,145,5
E07000041,Exeter,2.69150024223502,3.14008361594086,2.29674687337389,59.98095238095238,0.09087619047619049,71,3.887987012987013,271,9
E07000087,Fareham,0.692055206232452,0.949104282833076,NA,11.460905349794238,0.04979423868312757,97,2.207792207792208,52,2
E07000010,Fenland,1.1406010089932,1.64509760912481,1.11866637420487,32.358276643990926,0,9,3.1655844155844153,184.5,6
E07000112,Folkestone & Hythe,1.72904233364939,0.79944968114972,0.409020767099857,28.86128364389234,0.07018633540372671,21,2.344155844155844,63,3
E07000080,Forest of Dean,1.76111870465776,0.60456313741983,0.657133845021554,57.25806451612903,0,9,3.1298701298701297,178,6
E07000119,Fylde,0.597297230034096,1.21948184465295,0.920833229635898,15.904255319148936,0,0,2.675324675324675,104,4
E08000037,Gateshead,3.88240599188324,1.27580480186531,1.63874927136148,80.25842696629213,0.2113483146067416,509,2.957792207792208,146,5
E07000173,Gedling,1.02541156291366,0.671178477543487,0.727110017338777,11.87984496124031,0,0,2.425324675324675,75,3
E07000081,Gloucester,2.36337854052285,3.65414682034687,3.39962913136749,86.10108303249098,0,0,5.068181818181818,308,10
E07000088,Gosport,2.70743749004619,1.11482720178372,3.29139459574242,17.01949860724234,0.08596100278551531,31,2.987012987012987,150,5
E07000109,Gravesham,2.5208907147192,1.44717800289436,4.73834088044442,24.700239808153476,0.13712230215827337,83,2.9415584415584415,144,5
E07000145,Great Yarmouth,2.82055873925501,2.28330945558739,2.44000716332378,11.168539325842696,0.12979775280898875,53,3.0243506493506493,157.5,6
E09000011,Greenwich,1.70844298718668,1.96729798524527,13.2965184002761,179.4829097283085,0.1772655565293602,500,3.383116883116883,215.5,7
E07000209,Guildford,1.29639495649085,0.852424080980288,0.781388740898597,33.31541218637993,0.09413978494623657,227,1.8409090909090908,22,1
E09000012,Hackney,2.13910676087379,2.93316911907694,NA,77.61545711592836,0.20441093308199812,396,3.6720779220779223,252,9
E06000006,Halton,NA,NA,NA,74.17857142857143,0,0,5.412337662337662,309,10
E07000164,Hambleton,0.553869864663103,0.963251938544526,0.505707267735876,32.64705882352941,0,0,2.623376623376623,94,4
E09000013,Hammersmith & Fulham,1.16753529687895,1.84157629301525,13.4687834763664,21.169950738916256,0.14897783251231528,244,2.422077922077922,74,3
E07000131,Harborough,0.511371937856134,1.33930745628987,0.365265669897239,14.752475247524751,0,0,2.3993506493506493,72,3
E09000014,Haringey,3.31939670418371,2.2401393058289,22.6009196361361,112.3406279733587,0.1449476688867745,571,3.74025974025974,259.5,9
E07000073,Harlow,1.44697665358822,1.39132370537329,6.90096557865153,101.6622691292876,0.2399736147757256,131,3.0616883116883113,165,6
E07000165,Harrogate,1.64804980772752,1.23955882974378,0.957840913892919,26.573033707865168,0.0550561797752809,41,2.772727272727273,120.5,4
E09000015,Harrow,2.4371545934071,0.881037106536838,12.0713525635891,23.002232142857142,0.05339285714285714,59,3.0892857142857144,175,6
E07000089,Hart,0.996168582375479,0.383141762452107,0.587484035759898,39.6,0,0,2.7142857142857144,109,4
E06000001,Hartlepool,1.76507966392883,2.32990515638606,0.235343955190511,67.09046454767727,0.00755501222493887,28,3.405844155844156,221.5,8
E07000062,Hastings,2.69775948788294,3.31504343850023,12.1170553269319,28.22222222222222,0,2,4.4772727272727275,298,10
E07000090,Havant,1.645842919336,1.50426503380172,2.68997982515131,32.03358208955224,0,99,3.383116883116883,215.5,7
E09000016,Havering,2.02800130238616,2.23266198427834,9.35857481743337,18.97334649555775,0.08995064165844027,137,3.146103896103896,183,6
E06000019,Herefordshire,2.10831161309007,2.32841007819288,1.4827686070084,16.183574879227052,0,0,3.8896103896103895,272,9
E07000098,Hertsmere,1.94478702210416,1.04354425576321,2.46655914998577,18.711943793911008,0,0,3.5551948051948052,240,8
E07000037,High Peak,1.31978977634277,1.10768070514482,0.754165586481582,30.637254901960784,0.09465686274509803,62,2.1834415584415585,51,2
E09000017,Hillingdon,2.71225152564148,2.17693872452803,7.7263480960708,28.47069597069597,0.09364468864468864,108,3.4204545454545454,227,8
E07000132,Hinckley & Bosworth,0.755700818046136,1.92703708601765,1.26579887022728,18.11740890688259,0.0652834008097166,50,2.3912337662337664,69,3
E07000227,Horsham,0.688145136065061,1.04785736628089,2.14263371911167,11.298076923076923,0,0,2.7564935064935066,114.5,4
E09000018,Hounslow,NA,NA,NA,48.89320388349515,0.1273398058252427,327,3.9123376623376624,274,9
E07000011,Huntingdonshire,2.65798045602606,0.925081433224756,1.53745928338762,33.355006501950584,0,0,3.74025974025974,259.5,9
E07000120,Hyndburn,0.92367117306239,0.839701066420354,0.139950177736726,35,0,2,2.3603896103896105,65,3
E07000202,Ipswich,3.55685032435087,1.1348046272929,0.829931742348538,44.87394957983194,0.13359663865546215,366,2.538961038961039,82.5,3
E06000046,Isle of Wight,1.65798199905258,1.19907626717196,3.31596399810516,38.16358024691358,0,7,3.6948051948051948,258,9
E06000053,Isles of Scilly,0,0,0,66.66666666666667,0.13,0,1.7938311688311688,19,1
E09000019,Islington,1.44548584896975,3.53545583442282,9.2805715653599,159.6062176165803,0.2595440414507772,452,3.3863636363636362,218,8
E09000020,Kensington & Chelsea,1.88467874794069,2.72817133443163,25.5683690280066,45.66517189835576,0.10062780269058295,212,3.5584415584415585,241,8
E07000146,King's Lynn & West Norfolk,0.761579821181058,1.34038048527866,1.62978081732746,17.970370370370368,0,6,2.720779220779221,110,4
E06000010,Kingston upon Hull,5.67317249083057,3.37751664570378,1.2313862770795,77.74025974025973,0.20177489177489177,496,3.357142857142857,210,7
E09000021,Kingston upon Thames,0.598793858085856,0.755620820917865,13.0023809184357,47.5,0.06922256097560976,230,2.392857142857143,70.5,3
E08000034,Kirklees,1.75731625707959,0.930343900806842,1.65938532015255,75.65730337078652,0.12330898876404496,362,2.6623376623376624,102,4
E08000011,Knowsley,2.79104385040005,1.75215530608448,1.22495813434224,41.40695915279879,0,0,4.188311688311688,285,10
E09000022,Lambeth,2.13617397000812,3.04048761731155,NA,249.74016332590944,0.17585003711952488,550,3.8181818181818183,264,9
E07000121,Lancaster,1.59851240478249,1.77793726654379,0.782944851322035,34.38333333333333,0.06073333333333333,59,2.9074675324675323,139,5
E08000035,Leeds,2.19587045258171,1.41524893483896,0.467777016357298,58.94875549048316,0.15822547584187407,1203,2.4025974025974026,73,3
E06000016,Leicester,3.64816207019349,2.14458117358446,3.10212479721442,40.4160125588697,0.15479591836734694,476,3.133116883116883,179,6
