lad_code,lad_name,Number of arrivals (7 June),total_3jun,percent_3jun,temp_3jun,temp_percent_3jun,Number of arrivals (5 July),total_1jul,percent_1jul,temp_1jul,temp_percent_1jul,Number of arrivals (2 August),total_29jul,percent_29jul,temp_29jul,temp_percent_29jul,Number of arrivals (30 August),total_26aug,percent_26aug,temp_26aug,temp_percent_26aug,Number of arrivals (27 September),total_23sep,percent_23sep,temp_23sep,temp_percent_23sep,Number of arrivals (25 October),total_21oct,percent_21oct,temp_21oct,temp_percent_21oct,Number of arrivals (22 November),total_18nov,percent_18nov,temp_18nov,temp_percent_18nov,ltla21_name,region21_name,region21_code,total_delta,percent_delta,temp_delta,temp_percent_delta
E08000015,Wirral,187,5,0.026737967914438502,2,0.0106951871657754,227,6,0.02643171806167401,3,0.013215859030837005,263,10,0.03802281368821293,3,0.011406844106463879,291,12,0.041237113402061855,1,0.003436426116838488,308,10,0.032467532467532464,1,0.003246753246753247,334,12,0.03592814371257485,1,0.0029940119760479044,337,12,0.03560830860534125,1,0.002967359050445104,Wirral,North West,E12000002,7,0.008870340690902746,-1,-0.0077278281153302965
E07000217,Woking,155,3,0.01935483870967742,0,0,198,3,0.015151515151515152,0,0,233,4,0.017167381974248927,0,0,247,5,0.020242914979757085,4,0.016194331983805668,266,7,0.02631578947368421,3,0.011278195488721804,279,8,0.02867383512544803,4,0.014336917562724014,288,8,0.027777777777777776,5,0.017361111111111112,Woking,South East,E12000008,5,0.008422939068100356,5,0.017361111111111112
E06000041,Wokingham,202,0,0,0,0,258,4,0.015503875968992248,0,0,313,0,0,0,0,355,5,0.014084507042253521,5,0.014084507042253521,382,0,0,0,0,394,11,0.027918781725888325,7,0.017766497461928935,401,0,0,0,0,Wokingham,South East,E12000008,0,0,0,0
E08000031,Wolverhampton,32,0,0,0,0,46,0,0,0,0,53,1,0.018867924528301886,0,0,70,0,0,0,0,76,0,0,0,0,78,2,0.02564102564102564,0,0,81,2,0.024691358024691357,0,0,Wolverhampton,West Midlands,E12000005,2,0.024691358024691357,0,0
E07000237,Worcester,94,8,0.0851063829787234,2,0.02127659574468085,122,10,0.08196721311475409,2,0.01639344262295082,141,14,0.09929078014184398,5,0.03546099290780142,148,18,0.12162162162162163,6,0.04054054054054054,154,20,0.12987012987012986,6,0.03896103896103896,156,30,0.19230769230769232,7,0.04487179487179487,155,39,0.25161290322580643,9,0.05806451612903226,Worcester,West Midlands,E12000005,31,0.166506520247083,7,0.036787920384351414
E07000229,Worthing,68,0,0,0,0,72,3,0.041666666666666664,0,0,87,4,0.04597701149425287,0,0,94,3,0.031914893617021274,0,0,103,3,0.02912621359223301,0,0,105,2,0.01904761904761905,0,0,108,0,0,0,0,Worthing,South East,E12000008,0,0,0,0
E07000238,Wychavon,164,0,0,0,0,226,1,0.004424778761061947,0,0,275,12,0.04363636363636364,0,0,293,21,0.07167235494880546,1,0.0034129692832764505,309,23,0.0744336569579288,3,0.009708737864077669,320,27,0.084375,2,0.00625,325,38,0.11692307692307692,0,0,Wychavon,West Midlands,E12000005,38,0.11692307692307692,0,0
E07000128,Wyre,51,0,0,0,0,62,0,0,0,0,69,0,0,0,0,73,1,0.0136986301369863,0,0,76,0,0,0,0,80,0,0,0,0,81,0,0,0,0,Wyre,North West,E12000002,0,0,0,0
E07000239,Wyre Forest,49,0,0,0,0,56,0,0,0,0,68,1,0.014705882352941176,0,0,83,1,0.012048192771084338,0,0,94,0,0,0,0,94,1,0.010638297872340425,0,0,94,1,0.010638297872340425,0,0,Wyre Forest,West Midlands,E12000005,1,0.010638297872340425,0,0
E06000014,York,163,0,0,0,0,211,0,0,0,0,245,0,0,0,0,279,1,0.0035842293906810036,0,0,306,0,0,0,0,310,4,0.012903225806451613,0,0,313,2,0.006389776357827476,0,0,York,Yorkshire and The Humber,E12000003,2,0.006389776357827476,0,0
